x;y; 
0;0;
0.1;0.95818;
0.2;1.8756;
0.3;2.7535;
0.4;3.5932;
0.5;4.3959;
0.6;5.1628;
0.7;5.895;
0.8;6.5938;
0.9;7.2601;
1;7.8951;8
1.1;8.4998;
1.2;9.0751;
1.3;9.6221;
1.4;10.142;
1.5;10.635;
1.6;11.102;
1.7;11.545;
1.8;11.964;
1.9;12.36;
2;12.734;12.3
2.1;13.086;
2.2;13.417;
2.3;13.728;
2.4;14.02;
2.5;14.294;
2.6;14.549;
2.7;14.787;
2.8;15.008;
2.9;15.214;
3;15.403;15.5
3.1;15.578;
3.2;15.738;
3.3;15.885;
3.4;16.018;
3.5;16.138;
3.6;16.246;
3.7;16.341;
3.8;16.426;
3.9;16.499;
4;16.562;16.8
4.1;16.615;
4.2;16.658;
4.3;16.692;
4.4;16.716;
4.5;16.732;
4.6;16.74;
4.7;16.74;
4.8;16.732;
4.9;16.717;
5;16.695;17.1
5.1;16.667;
5.2;16.632;
5.3;16.591;
5.4;16.544;
5.5;16.492;
5.6;16.434;
5.7;16.372;
5.8;16.305;
5.9;16.233;
6;16.156;15.8
6.1;16.076;
6.2;15.992;
6.3;15.904;
6.4;15.812;
6.5;15.718;
6.6;15.62;
6.7;15.519;
6.8;15.415;
6.9;15.309;
7;15.201;15.2
7.1;15.09;
7.2;14.976;
7.3;14.861;
7.4;14.744;
7.5;14.625;
7.6;14.505;
7.7;14.383;
7.8;14.26;
7.9;14.135;
8;14.009;14
8.1;13.883;
8.2;13.755;
8.3;13.626;
8.4;13.497;
8.5;13.367;
8.6;13.236;
8.7;13.105;
8.8;12.974;
8.9;12.842;
9;12.71;
9.1;12.577;
9.2;12.445;
9.3;12.313;
9.4;12.18;
9.5;12.048;
9.6;11.915;
9.7;11.783;
9.8;11.651;
9.9;11.52;
10;11.388;
10.1;11.257;
10.2;11.127;
10.3;10.997;
10.4;10.867;
10.5;10.738;
10.6;10.61;
10.7;10.482;
10.8;10.355;
10.9;10.228;
11;10.102;
11.1;9.9772;
11.2;9.8528;
11.3;9.7292;
11.4;9.6064;
11.5;9.4844;
11.6;9.3633;
11.7;9.243;
11.8;9.1236;
11.9;9.0051;
12;8.8875;
12.1;8.7708;
12.2;8.6551;
12.3;8.5403;
12.4;8.4265;
12.5;8.3136;
12.6;8.2018;
12.7;8.0909;
12.8;7.9811;
12.9;7.8722;
13;7.7644;
13.1;7.6576;
13.2;7.5518;
13.3;7.4471;
13.4;7.3434;
13.5;7.2407;
13.6;7.1391;
13.7;7.0385;
13.8;6.939;
13.9;6.8405;
14;6.7431;
14.1;6.6467;
14.2;6.5514;
14.3;6.4571;
14.4;6.3639;
14.5;6.2717;
14.6;6.1805;
14.7;6.0904;
14.8;6.0013;
14.9;5.9133;
15;5.8263;
15.1;5.7403;
15.2;5.6553;
15.3;5.5714;
15.4;5.4884;
15.5;5.4065;
15.6;5.3255;
15.7;5.2456;
15.8;5.1667;
15.9;5.0887;
16;5.0117;
